"date","champaign","salem","ithaca"
2021-07-16,70.2425,72.3875,71.0225
2021-07-17,68.69,74.2625,70.0925
2021-07-18,70.85,73.4225,64.43
2021-07-19,71.7275,71.825,67.7975
2021-07-20,71.6075,70.955,69.845
2021-07-21,72.5825,70.67,63.0575
2021-07-22,75.29,73.025,60.8
2021-07-23,76.595,76.4675,62.18
2021-07-24,78.4625,79.4075,65.3375
2021-07-25,77.2625,76.1525,71.8025
2021-07-26,74.4125,76.1375,67.9175
2021-07-27,73.6175,76.43,66.9725
2021-07-28,75.5525,78.68,64.6475
2021-07-29,76.88,79.4375,62.4275
2021-07-30,70.325,79.3325,62.69
2021-07-31,62.2775,77.24,57.05
2021-08-01,67.13,72.38,58.985
2021-08-02,64.1,69.605,61.4
2021-08-03,65.66,66.17,58.6175
2021-08-04,68.0525,66.35,61.8275
2021-08-05,68.99,67.9025,63.845
2021-08-06,71.9975,74.0675,68.36
2021-08-07,74.855,75.2675,71.045
2021-08-08,75.5,73.43,71.5325
2021-08-09,73.985,80.27,72.9575
2021-08-10,80.3375,81.7925,74.8325
2021-08-11,80.0075,80.705,77.5025
2021-08-12,72.1775,79.9775,76.4
2021-08-13,72.83,73.28,75.2075
2021-08-14,68.915,73.0775,67.355
2021-08-15,67.01,68.345,60.125
2021-08-16,69.14,68.21,63.425
2021-08-17,73.415,71.7125,70.88
2021-08-18,75.0575,71.6075,71.7875
2021-08-19,74.045,76.55,70.595
2021-08-20,74.2925,76.73,70.67
2021-08-21,74.555,74.7425,71.0075
2021-08-22,75.1475,75.7325,73.07
2021-08-23,74.3075,75.92,73.6625
2021-08-24,78.185,80.48,72.2525
2021-08-25,77.885,82.175,73.415
2021-08-26,73.22,81.1175,73.7
2021-08-27,76.9475,80.84,71.0825
2021-08-28,77.735,79.49,70.1
2021-08-29,78.74,72.92,71.81
2021-08-30,74.0225,74.1125,71.5475
2021-08-31,73.13,73.6925,66.005
2021-09-01,69.185,71.885,61.7675
2021-09-02,65.27,69.6275,56.4725
2021-09-03,66.1475,71.57,57.635
2021-09-04,67.94,72.635,58.685
2021-09-05,67.16,70.19,63.095
2021-09-06,69.7325,68.45,60.44
2021-09-07,72.65,73.0325,60.785
2021-09-08,67.115,70.4675,65.8025
2021-09-09,62.795,63.2225,61.64
2021-09-10,64.265,70.3025,NA
2021-09-11,72.9275,74.1725,60.2075
2021-09-12,75.185,73.79,68.3375
